Sample,Peak_No,Wavenumber_cm-1
MEL,1,3417.86
MEL,2,3186.4
MEL,3,1651.07
MEL,4,1043.49
MEL,5,655.8
MEL,6,2997.38
MEL,7,1433.11
MEL,8,993.34
MEL,9,462.92
MEL-Si,1,3444.87
MEL-Si,2,788.89
MEL-Si,3,2881.65
MEL-Si,4,1307.74
