Sample,Peak_No,Wavenumber_cm-1
mel,1,1467.83
mel,2,1028.06
mel,3,813.96
mel-si,1,1029.99
mel-si,2,813.96
mel-基线校正,1,1467.83
mel-基线校正,2,1028.06
mel-基线校正,3,813.96
mel-平滑,1,1467.83
mel-平滑,2,1028.06
