Sample,Peak_No,Wavenumber_cm-1
mel,1,3417.86
mel,2,1651.07
mel,3,1024.2
mel,4,815.89
mel,5,462.92
mel-si,1,3417.86
mel-si,2,2958.8
mel-si,3,1024.2
mel-si,4,815.89
mel-基线校正,1,3417.86
mel-基线校正,2,1651.07
mel-基线校正,3,1024.2
mel-基线校正,4,815.89
mel-基线校正,5,462.92
