Sample,Peak_No,Wavenumber_cm-1
mel-si,1,3419.79
mel-si,2,813.96
mel,1,813.96
mel,2,1028.06
mel,3,1467.83
mel-基线校正,1,813.96
mel-基线校正,2,1028.06
mel-基线校正,3,1467.83
