Sample,Peak_No,Wavenumber_cm-1
mel,1,3419.79
mel,2,2983.88
mel,3,1651.07
mel,4,1467.83
mel,5,1284.59
mel,6,1028.06
mel,7,813.96
mel,8,464.84
