Sample,Peak_No,Wavenumber_cm-1
mel,1,3419.79
mel-si,1,3419.79
mel,2,2958.8
mel-si,2,2953.02
mel,3,1654.92
mel-si,4,1616.35
mel,5,1469.76
mel-si,5,1465.9
mel,6,1280.73
mel-si,6,1284.59
mel,7,1028.06
mel-si,7,1029.99
mel,8,813.96
mel-si,8,815.89
mel,9,464.84
mel-si,10,433.98
