Sample,Peak_No,Wavenumber_cm-1
mel-基线校正,1,1467.83
mel-基线校正,2,1028.06
mel-基线校正,3,813.96
mel-平滑,1,1467.83
mel-平滑,2,1028.06
mel-平滑,3,813.96
