Sample,Peak_No,Wavenumber_cm-1
mel,1,3419.79
mel,2,1467.83
mel,3,1028.06
mel,4,813.96
mel-si,1,3419.79
mel-si,2,1029.99
mel-si,3,813.96
mel-si,4,493.78
mel-基线校正,1,3419.79
mel-基线校正,2,1467.83
mel-基线校正,3,1028.06
mel-基线校正,4,813.96
