Sample,Peak_No,Wavenumber_cm-1
mel-si,1,3419.79
mel-si,2,813.96
mel-si,3,1029.99
mel-si,4,426.27
mel,1,3419.79
mel,2,813.96
mel,3,1028.06
mel,4,1467.83
mel-基线校正,1,3419.79
mel-基线校正,2,813.96
mel-基线校正,3,1028.06
mel-基线校正,4,1467.83
